YEAR;MONTH;SEX;CARAPACE;AREA;SHELL
2016;8;M;26;3101;
2016;8;M;30;3101;
2016;8;F;21;3101;
2016;8;F;32;3101;
2016;8;F;31;3101;
2016;8;M;27;3101;
2016;8;F;24;3101;
2016;8;M;17;3101;
2016;8;M;28;3101;
2016;8;F;28;3101;
2016;8;F;35;3101;
2016;8;F;26;3101;
2016;8;M;24;3101;
2016;8;F;26;3101;
2016;8;M;24;3101;
2016;8;M;27;3101;
2016;8;M;30;3101;
2016;8;M;17;3101;
2016;8;F;26;3101;
2016;8;M;33;3101;
2016;8;F;25;3101;
2016;8;M;26;3101;
2016;8;F;31;3101;
2016;8;M;27;3101;
2016;8;M;27;3101;
2016;8;F;26;3101;
2016;8;M;25;3101;
2016;8;F;25;3101;
2016;8;F;19;3101;
2016;8;F;29;3101;
2016;8;F;24;3101;
2016;8;M;17;3101;
2016;8;F;40;3101;
2016;8;F;26;3101;
2016;8;M;38;3101;
2016;8;M;33;3101;
2016;8;M;18;3101;
2016;8;F;26;3101;
2016;8;M;26;3101;
2016;8;F;37;3101;30
2016;8;M;31;3101;
2016;8;F;29;3101;
2016;8;F;14;3101;
2016;8;M;25;3101;
2016;8;M;22;3101;
2016;8;F;22;3101;
2016;8;M;27;3101;
2016;8;M;24;3101;
2016;8;F;27;3101;
2016;8;F;21;3101;
2016;8;M;26;3101;
2016;8;F;25;3101;
2016;8;M;27;3101;
2016;8;F;17;3101;
2016;8;F;17;3101;
2016;8;M;25;3101;
2016;8;M;24;3101;
2016;8;M;30;3101;
2016;8;M;33;3101;
2016;8;F;27;3101;
2016;8;M;17;3101;
2016;8;M;27;3101;
2016;8;F;27;3101;
2016;8;F;27;3101;
2016;8;F;28;3101;
2016;8;M;26;3101;
2016;8;M;7;3101;
2016;8;M;17;3101;
2016;8;M;24;3101;
2016;8;F;52;3101;31
2016;8;F;31;3101;30
2016;8;F;33;3101;
2016;8;F;33;3101;
2016;8;F;37;3101;
2016;8;F;33;3101;
2016;8;F;35;3101;
2016;8;F;37;3101;
2016;8;F;34;3101;
2016;8;F;41;3101;
2016;8;M;48;3101;
2016;8;M;58;3101;
2016;8;M;49;3101;
2016;8;M;53;3101;
2016;8;M;49;3101;
2016;8;M;37;3101;
2016;8;M;35;3101;
2016;8;M;57;3101;
2016;8;M;39;3101;
2016;8;M;45;3101;
2016;8;M;50;3101;
2016;8;M;39;3101;
2016;8;M;49;3101;
2016;8;M;47;3101;
2016;8;M;39;3101;
2016;8;M;42;3101;
2016;8;M;42;3101;
2016;8;M;49;3101;
2016;8;M;45;3101;
2016;8;M;39;3101;
2016;8;M;46;3101;
2016;8;M;36;3101;
2016;8;M;35;3101;
2016;8;M;42;3101;
2016;8;M;43;3101;
2016;8;M;45;3101;
2016;8;M;51;3101;
2016;8;M;47;3101;
2016;8;M;37;3101;
2016;8;M;39;3101;
